key,value
env_id,1
task_id,6937
app_pit,2026-07-20T09:40:06
task_name,polaris-waf-dlr-100
task_type,spark
start_time,2026-07-20T09:40:08.931000+00:00
end_time,2026-07-20T11:01:44.446000+00:00
status,COMPLETED
error,
app_id,1
notification_sent,false
pipeline_run_id,1-2026-07-20 09:40:06
user_task_id,polaris-waf-dlr-100
last_heartbeat,2026-07-20T11:00:09.434000+00:00
params_baseline_id,1
task_sub_type,
agent_task_id,525508134
tenant_id,1
parent_task_id,
retention_end_time,
app_name,polaris-waf-dlr-100
env_name,default
task_duration,4895.515
cost,33.20107435038007
env,default
duration,4895.515
task_rnum,1
utilization,0.5492570441059846
cnt_metrics,93
cnt_test_runs,12
cnt_alerts,1
cnt_breaks,0
cnt_tfs_completed,3
cnt_tfs_running,0
cnt_tfs_failed,0
run_insights,"{""app_id"":1,""env_id"":1,""app_pit"":""2026-07-20T09:40:06"",""task_id"":6937,""task_name"":""polaris-waf-dlr-100"",""driver__cores"":5,""task__duration"":4895.515,""executor__cores"":6,""task__idle_time"":84.8559999465942,""task__skew_time"":0,""task__alerts_count"":1,""task__breaks_count"":0,""executors__duration"":784537.0062105262,""task__metrics_count"":93,""task__total_io_bytes"":62013261786544,""has_dedicated_cluster"":false,""enrichments_updated_at"":""2026-07-20T11:01:44.72101"",""executors__jvm_gc_time"":3807.349,""task__task_cpus__param"":1,""task__tests_runs_count"":12,""task__vcore_time__used"":4167447.862,""suggested_executors_max"":129,""suggested_executors_min"":103,""task__memory_time__used"":23974847.631798103,""task__tfs_count__failed"":0,""configured_max_executors"":167,""driver__memory__max_used"":4.7793318554759,""task__disk_bytes_spilled"":4838124545,""task__tfs_count__running"":0,""driver__memory__allocated"":6,""executors__cpu_time__used"":1020731.21,""task__idle_time_percentage"":1.7333416391655259,""task__skew_time_percentage"":0,""task__tfs_count__completed"":3,""executor__memory__allocated"":57,""executors__retry_percentage"":11.972995310665164,""executors__vcore_time__used"":4142959.862,""task__vcore_time__allocated"":4731709,""driver__vcore_time_allocated"":24477.575,""executors__memory_time__used"":23951450.341009643,""task__memory_time__allocated"":44747982.444,""driver__heap_memory__max_used"":3.85536640137434,""executors__gc_time_percentage"":0.0918992490108754,""driver__heap_memory__allocated"":4,""driver__memory_time__allocated"":29373.090000000004,""executors__vcores_time__unused"":2745879.5217368416,""executor__memory_heap__max_used"":51.4756383225322,""task__executor_instances__param"":167,""task__shuffle_partitions__param"":""10000"",""executor__memory_heap__allocated"":52,""executors__vcore_time__allocated"":4707220,""task__is_run_with_long_idle_time"":false,""task__is_run_with_long_skew_time"":false,""executors__memory_time__allocated"":44718609.353999995,""executors__vcore_time__allocated2"":4707220,""executor__memory_off_heap__max_used"":3.96989440917969,""driver__memory_heap__suggested_value"":5,""executor__memory_off_heap__allocated"":5,""executor__memory_heap__max_percentage"":98.99161215871575,""executor__memory_heap__suggested_value"":52,""executors__cpu_utilization__percentage"":24.637728677082702,""executor__memory_off_heap__max_percentage"":79.3978881835938,""executor__memory_off_heap__suggested_value"":5,""task__dynamic_is_allocation_enabled__param"":false,""driver__memory_heap_utilization__percentage"":96.3841600343585,""executors__used_vcore_time_of_retried_tasks"":496036.39,""executors__vcore_time_utilization__percentage"":88.01287940652871}"
links,
version,3.5.7
