key,value
tf_id,96802
agent_tf_id,5
task_id,6998
env,default
task_name,polaris-bhv4-one-percent
app_id,6
app_name,polaris-bhv4-one-percent
app_pit,2026-07-20T18:30:10
output_name,abfss://polaris-bhv4@bh4onepctprod.dfs.core.windows.net/delta
tf_type,file
status,COMPLETED
start_time,2026-07-20T18:31:22.999000+00:00
end_time,2026-07-20T18:31:29.307000+00:00
duration,6.308
cnt_test_runs,
cnt_alerts,
cnt_breaks,
cnt_metrics,9
tf_io_type,output
error,
description,save at FormatSparkWriter.scala:28 (SaveIntoDataSourceCommand)
query_str,"SaveIntoDataSourceCommand($VAR_1$, $VAR_2$, Append)
   :- Filter((rand($VAR_3$) < ($VAR_4$ / ($VAR_5$ / $VAR_5$))))
      :- DataSourceV2Relation($VAR_6$, [cpcode, ts, ip, host, path, user_agent, status_code, http_method, header_order_fingerprinting, query, referer, accept_language, content_type, header_size, cookie, start_time, global_id, request_checksum, tcp_fingerprinting, tls_fingerprinting, h2_fp, ghost_ip, akid, api_id, autopost, account, tls_fingerprinting_3, tls_extension_order, elliptic_curves_order, signature_algorithms_order], $VAR_7$)
"
