key,value
tf_id,10098
agent_tf_id,0
task_id,1685
env,default
task_name,polaris-bhv4-100
app_id,2
app_name,polaris-bhv4-100
app_pit,2026-06-05T23:40:07
output_name,abfss://data@bh4100prod.dfs.core.windows.net/delta
tf_type,file
status,COMPLETED
start_time,2026-06-05T23:40:47.223000+00:00
end_time,2026-06-06T00:04:27.249000+00:00
duration,1420.026
cnt_test_runs,
cnt_alerts,
cnt_breaks,
cnt_metrics,
tf_io_type,internal
error,
description,save at FormatSparkWriter.scala:28 (SaveIntoDataSourceCommand)
query_str,"SaveIntoDataSourceCommand($VAR_1$, $VAR_2$, Append)
   :- Filter((rand($VAR_3$) < ($VAR_4$ / ($VAR_5$ / $VAR_5$))))
      :- DataSourceV2Relation($VAR_6$, [cpcode, ts, ip, host, path, user_agent, status_code, http_method, header_order_fingerprinting, query, referer, accept_language, content_type, header_size, cookie, start_time, global_id, request_checksum, tcp_fingerprinting, tls_fingerprinting, h2_fp, ghost_ip, akid, api_id, autopost, account, tls_fingerprinting_3, tls_extension_order, elliptic_curves_order, signature_algorithms_order], $VAR_7$)
"
